2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.758259 Table action Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column index db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column poster_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column content db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column milestone_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column priority db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column assignee_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column is_closed db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column is_pull db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column num_comments db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column deadline_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.764244 Table issue Column updated_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column type db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column status db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column issue_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column index db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column head_repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column base_repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column head_user_name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column head_branch db default is 'NULL', struct default is 
